Outbreak	Coronahit_rapid
dataType	resequencing_consistency_check
source	Nabil-Fareed_Alikhan
pmid	doi://10.1101/2020.06.24.162156
Organism	SARS-CoV-2
tree	https://raw.githubusercontent.com/globalmicrobialidentifier-WG3/datasets/master/datasets/trees/sars-cov-2-coronahit-rapid.dnd

SRArun_acc	biosample_acc	dataSetName	genBankAssembly	nucleotide	outbreak	sha256sumAssembly	sha256sumRead1	sha256sumRead2	sha256sumnucleotide	strain	suggestedReference
ERR4969329	ERS5446187	Coronahit_rapid	-	LR963326	NORW-EFDE2 	-	6701febb5ef3bfb2ff3ae0689fb51b50a8116f81e238d5c1523bb5956069092a	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bdab7897bb9e55aced774992929b0a220a0a50861cba16c626fceb5ab648b158	NORW-EFDE2_CoronaHiT-ONT	FALSE	
ERR4969390	ERS5446175	Coronahit_rapid	-	LR963331	NORW-EFE1C 	-	3a94c10d93716e66f4adeb4befe671f32c67857e515bf4b350d5577bd5e81814	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	ebbf13a449994ba6fb89b3fbabfa645ad3163ce203dd6e251e8ba30a2deed6f8	NORW-EFE1C_ARTIC_LoCost	FALSE	
ERR4970006	ERS5446175	Coronahit_rapid	-	LR963331	NORW-EFE1C 	-	352e3ed32dd47b41c5b995dd8bd063d7156f7758f9798ecd622125e3163a005f	2c23a4106cd34774246ea5c053d56b6dc0485e2c29f681f17b61fd070fa8cc5b	ebbf13a449994ba6fb89b3fbabfa645ad3163ce203dd6e251e8ba30a2deed6f8	NORW-EFE1C_CoronaHiT-Illumina	FALSE	
ERR4969327	ERS5446175	Coronahit_rapid	-	LR963331	NORW-EFE1C 	-	1c03e3c4adc6cbdb151c2b0bd9902fa73447d849e54da9b82804898b18d6bf41	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	ebbf13a449994ba6fb89b3fbabfa645ad3163ce203dd6e251e8ba30a2deed6f8	NORW-EFE1C_CoronaHiT-ONT	FALSE	
ERR4969387	ERS5446164	Coronahit_rapid	-	LR963330	NORW-EFE58 	-	481d0478aad27ff8044dd8e094e6b5869f8ae9f37ea23f40139c6db684e30778	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e797c1a5c0d1fa78177321fc7662422baecf7e383f13e492ca7e7c310e3075e5	NORW-EFE58_ARTIC_LoCost	FALSE	
ERR4970009	ERS5446164	Coronahit_rapid	-	LR963330	NORW-EFE58 	-	f06538dd48c957af24f099270a4adecf028a6168d9c5eb210d55359c749f1e8f	211d2673e34cf03716dbd74547c398cf6f281ab03ba57c1bb531ecabb63b348b	e797c1a5c0d1fa78177321fc7662422baecf7e383f13e492ca7e7c310e3075e5	NORW-EFE58_CoronaHiT-Illumina	FALSE	
ERR4969330	ERS5446164	Coronahit_rapid	-	LR963330	NORW-EFE58 	-	cb49f01bb91e1a8d44b9fc1747f337f341ce25f2f814bd37dc29caee09c7a814	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e797c1a5c0d1fa78177321fc7662422baecf7e383f13e492ca7e7c310e3075e5	NORW-EFE58_CoronaHiT-ONT	FALSE	
ERR4969381	ERS5446167	Coronahit_rapid	-	LR963345	NORW-EFE76 	-	1ee079861b8e1770742b38bb912a6c57f6496c505760450c657c55b59f73059e	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	1a40ea032196b6d4dd6ac3d00696a6081e136c070c6ca391a7f78fc8173c309b	NORW-EFE76_ARTIC_LoCost	FALSE	
ERR4969999	ERS5446167	Coronahit_rapid	-	LR963345	NORW-EFE76 	-	5d2aa57ced16eff4317c4421583d5f66797e175bba356b589d4da650cc3c5110	3bbc584bc5b1650fa0a7868d3689d5f07e092f238a44f08b7dad30d95c426c1e	1a40ea032196b6d4dd6ac3d00696a6081e136c070c6ca391a7f78fc8173c309b	NORW-EFE76_CoronaHiT-Illumina	FALSE	
ERR4969354	ERS5446167	Coronahit_rapid	-	LR963345	NORW-EFE76 	-	dd2ade45644ac25745d8c41f06871b5c4fcaf881625f4bc7badba9f1f427c4d8	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	1a40ea032196b6d4dd6ac3d00696a6081e136c070c6ca391a7f78fc8173c309b	NORW-EFE76_CoronaHiT-ONT	FALSE	
